ID,Time,Action,EventDescription,UserId,UserDescription
184,2019-07-05 07:12:00 +0000 UTC,remove_rendering,Removed rendering 13 for app 3 variant 9,0,Obsolete rendering remover
183,2019-06-20 22:01:00 +0000 UTC,remove_variant,Removed variant 20 (qp2KWLZge1) from app 3,0,Obsolete ad-hoc variant remover
182,2019-06-20 22:01:00 +0000 UTC,remove_variant,Removed variant 19 (mEODX1p3DE) from app 3,0,Obsolete ad-hoc variant remover
181,2019-06-19 22:01:00 +0000 UTC,remove_variant,Removed variant 18 (J9mn2LscNd) from app 3,0,Obsolete ad-hoc variant remover
180,2019-06-19 22:01:00 +0000 UTC,remove_variant,Removed variant 17 (Mzc4UIuvmV) from app 3,0,Obsolete ad-hoc variant remover
179,2019-06-15 10:11:00 +0000 UTC,remove_variant,Removed variant 13 (OgGQ6oEkBK) from app 3,0,Obsolete ad-hoc variant remover
178,2019-06-15 10:11:00 +0000 UTC,remove_variant,Removed variant 11 (REHfIhwDF7) from app 3,0,Obsolete ad-hoc variant remover
177,2019-06-13 11:39:00 +0000 UTC,remove_rendering,Removed rendering 29 for app 3 variant 20,0,Obsolete rendering remover
176,2019-06-13 08:35:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (174b6e24-c2ef-489e-9187-32d6fdc4eb5e) for variant 9 (cons_16) for app 3,4,Profound Publisher (publisher)
175,2019-06-13 08:35:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (332864df-0f1b-424c-99be-9764cfd0379b) for variant 5 (Agro 18) for app 3,4,Profound Publisher (publisher)
174,2019-06-13 08:35:00 +0000 UTC,variant_render,Received a request to render variant 20 (qp2KWLZge1) for app 3,4,Profound Publisher (publisher)
173,2019-06-13 08:35:00 +0000 UTC,promote_variant_manual_overrides,Promoted overrides (20) for variant 20 (qp2KWLZge1) for app 3,4,Profound Publisher (publisher)
172,2019-06-13 08:35:00 +0000 UTC,duplicate_variant,Created variant 20 (qp2KWLZge1) for app 3 as a duplicate of variant 2 (default),4,Profound Publisher (publisher)
171,2019-06-13 08:34:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (4b461821-1f2e-436e-9e5b-e13e528a3eaf) for variant 2 (default) for app 3,4,Profound Publisher (publisher)
170,2019-06-12 23:05:00 +0000 UTC,remove_rendering,Removed rendering 27 for app 3 variant 19,0,Obsolete rendering remover
169,2019-06-12 22:23:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (2c3181fc-f575-44d2-86d5-58009000db6c) for variant 5 (Agro 18) for app 3,4,Profound Publisher (publisher)
168,2019-06-12 22:23:00 +0000 UTC,variant_render,Received a request to render variant 19 (mEODX1p3DE) for app 3,4,Profound Publisher (publisher)
167,2019-06-12 22:23:00 +0000 UTC,promote_variant_manual_overrides,Promoted overrides (19) for variant 19 (mEODX1p3DE) for app 3,4,Profound Publisher (publisher)
166,2019-06-12 22:23:00 +0000 UTC,duplicate_variant,Created variant 19 (mEODX1p3DE) for app 3 as a duplicate of variant 2 (default),4,Profound Publisher (publisher)
165,2019-06-12 22:22:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (cc903ff6-53b2-4c78-a42f-e620ea2e82e1) for variant 2 (default) for app 3,4,Profound Publisher (publisher)
164,2019-06-12 22:05:00 +0000 UTC,remove_rendering,Removed rendering 25 for app 3 variant 18,0,Obsolete rendering remover
163,2019-06-12 21:48:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (cb325e3b-877e-43fa-9d9b-9ded6335b199) for variant 5 (Agro 18) for app 3,4,Profound Publisher (publisher)
162,2019-06-12 21:48:00 +0000 UTC,variant_render,Received a request to render variant 18 (J9mn2LscNd) for app 3,4,Profound Publisher (publisher)
161,2019-06-12 21:48:00 +0000 UTC,promote_variant_manual_overrides,Promoted overrides (18) for variant 18 (J9mn2LscNd) for app 3,4,Profound Publisher (publisher)
160,2019-06-12 21:48:00 +0000 UTC,duplicate_variant,Created variant 18 (J9mn2LscNd) for app 3 as a duplicate of variant 2 (default),4,Profound Publisher (publisher)
159,2019-06-12 21:47:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (60e5dc45-dc27-416f-b77c-b3e79b363295) for variant 2 (default) for app 3,4,Profound Publisher (publisher)
158,2019-06-12 09:05:00 +0000 UTC,remove_variant,Removed variant 8 (ChVHkVOL6c) from app 3,0,Obsolete ad-hoc variant remover
157,2019-06-12 09:05:00 +0000 UTC,remove_variant,Removed variant 4 (ccmlSCrDrT) from app 3,0,Obsolete ad-hoc variant remover
156,2019-06-12 09:05:00 +0000 UTC,remove_rendering,Removed rendering 23 for app 3 variant 17,0,Obsolete rendering remover
155,2019-06-12 08:57:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (bfef0522-d63b-4f84-a081-78cd5a659a3a) for variant 9 (cons_16) for app 3,4,Profound Publisher (publisher)
154,2019-06-12 08:57:00 +0000 UTC,variant_render,Received a request to render variant 17 (Mzc4UIuvmV) for app 3,4,Profound Publisher (publisher)
153,2019-06-12 08:57:00 +0000 UTC,promote_variant_manual_overrides,Promoted overrides (17) for variant 17 (Mzc4UIuvmV) for app 3,4,Profound Publisher (publisher)
152,2019-06-12 08:57:00 +0000 UTC,duplicate_variant,Created variant 17 (Mzc4UIuvmV) for app 3 as a duplicate of variant 2 (default),4,Profound Publisher (publisher)
151,2019-06-12 08:56:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (0bc3024c-5093-4615-ab15-6b386ce9353d) for variant 2 (default) for app 3,4,Profound Publisher (publisher)
150,2019-06-12 08:56:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (dc91e54a-0208-487b-a1f1-5bdd5c350b05) for variant 1 (default) for app 2,4,Profound Publisher (publisher)
149,2019-06-12 08:49:00 +0000 UTC,remove_application,Removed application mtcars_wed1,4,Profound Publisher (publisher)
148,2019-06-12 08:48:00 +0000 UTC,edit_application,Edited application mtcars_wed1: access_type: acl => all,4,Profound Publisher (publisher)
147,2019-06-12 08:48:00 +0000 UTC,add_vanity,Added vanity url /mtcars/ for app 16,4,Profound Publisher (publisher)
146,2019-06-12 08:47:00 +0000 UTC,edit_application,Edited application mtcars_wed1: no differences,4,Profound Publisher (publisher)
145,2019-06-12 08:47:00 +0000 UTC,add_image_to_app,Added image with MD5 ending in 'c7351bf05c' to app mtcars_wed1,4,Profound Publisher (publisher)
144,2019-06-12 08:45:00 +0000 UTC,edit_user,"Edited user Profound Publisher (publisher): user_role: publisher => administrator, updated_time: 2019-05-07 04:14:44.910432385 +0000 UTC => 2019-06-12 08:45:38.200940912 +0000 UTC",2,Awesome Admin (admin)
143,2019-06-12 08:45:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-16-18.tar.gz to application mtcars_wed1,4,Profound Publisher (publisher)
142,2019-06-12 08:45:00 +0000 UTC,upload_bundle,Uploaded bundle for app mtcars_wed1 (103417 bytes),4,Profound Publisher (publisher)
141,2019-06-12 08:44:00 +0000 UTC,add_application,Created application mtcars_wed1,4,Profound Publisher (publisher)
140,2019-06-12 08:41:00 +0000 UTC,remove_application,Removed application car_mileage,4,Profound Publisher (publisher)
139,2019-06-12 08:37:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-15-17.tar.gz to application car_mileage,4,Profound Publisher (publisher)
138,2019-06-12 08:37:00 +0000 UTC,upload_bundle,Uploaded bundle for app car_mileage (103438 bytes),4,Profound Publisher (publisher)
137,2019-06-12 08:37:00 +0000 UTC,add_application,Created application car_mileage,4,Profound Publisher (publisher)
136,2019-06-12 08:35:00 +0000 UTC,remove_application,Removed application mtcars_wed1xx1,4,Profound Publisher (publisher)
135,2019-06-06 15:55:00 +0000 UTC,deploy_application,Deployed bundle /var/lib/rstudio-connect/bundles/app-14-16.tar.gz to application mtcars_wed1xx1,4,Profound Publisher (publisher)
134,2019-06-06 15:55:00 +0000 UTC,upload_bundle,Uploaded bundle for app mtcars_wed1xx1 (103421 bytes),4,Profound Publisher (publisher)
133,2019-06-06 15:54:00 +0000 UTC,add_application,Created application mtcars_wed1xx1,4,Profound Publisher (publisher)
132,2019-06-06 15:42:00 +0000 UTC,create_variant_manual_overrides,Created new overrides (7d3af1ad-5873-46f8-9ef4-471c4846ecd8) for variant 2 (default) for app 3,4,Profound Publisher (publisher)
